dev_os;temp;title;cam_vert;timestamp;id;comp_bar;pos_sat;pos_tech;pos_acc;Make and Model;cam_hoz;Azimuth;editor;Pitch;press;OS Version;Roll;Name;Tree type;Tree Species;Take photo;Grid reference;Other Known;geom
;;OBT Tree Survey;;2015-06-24T10:33:24.457Z;_jjt4nbgg5;;;;-1;MOTOROLA XT1068;;-14.547.318.018.848.800;35cf4469-162e-4f6d-8eae-ed886121088d.json;-24.696.154.038.636.000;;5.0.2;6.081.212.396.857.130;obt (76);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (76)/1435141994357.jpg'>;Placeholder;Type species name in here;-3.7884028000000045,52.690281900000166
;;OBT Tree Survey;;2015-06-24T10:34:07.766Z;_392qgkyke;;;;-1;MOTOROLA XT1068;;-1.467.584.715.261.230;35cf4469-162e-4f6d-8eae-ed886121088d.json;-308.021.280.056.686;;5.0.2;2.089.262.872.996.510;obt (75);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (75)/1435142039138.jpg'>;Placeholder;Type species name in here;-3.788637800000021,52.689816899999755
;;OBT Tree Survey;;2015-06-24T10:34:47.757Z;_nbiyqpe0l;;;;-1;MOTOROLA XT1068;;16.930.235.782.520.700;35cf4469-162e-4f6d-8eae-ed886121088d.json;-6.014.981.333.135.980;;5.0.2;1.684.380.827.631.060;obt (74);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (74)/1435142062340.jpg'>;Placeholder;Type species name in here;-3.788637800000021,52.689816899999755
;;OBT Tree Survey;;2015-06-24T10:35:33.704Z;_e9439utwd;;;;-1;MOTOROLA XT1068;;-16.922.181.623.451.400;35cf4469-162e-4f6d-8eae-ed886121088d.json;-19.382.111.477.562.500;;5.0.2;12.488.690.977.534.700;obt (73);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (73)/1435142105660.jpg'>;Placeholder;Type species name in here;-3.7888351000000364,52.68892000000003
;;OBT Tree Survey;;2015-07-08T10:32:33.507Z;_27thme2ky;;;;-1;MOTOROLA XT1068;;11.597.471.331.422.700;35cf4469-162e-4f6d-8eae-ed886121088d.json;-2.903.305.095.402.730;;5.0.2;-50.605.085.004.036.000;Mac Arthur (2);;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Mac Arthur (2)/1436351496131.jpg'>;;;-2.421976,53.825563999999986
;;OBT Tree Survey;;2015-07-08T12:06:30.440Z;_6kv2m250i;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;obt (58);Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (58)/1436357110671.jpg'>;628963;;-4.0247106,52.547540699999985
;;OBT Tree Survey;;2015-07-08T12:37:10.878Z;_jcjbrreiu;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;Obt;Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Obt/1436358955966.jpg'>;;;-4.0234658,52.54779249999999
;;OBT Tree Survey;;2015-07-08T12:50:58.060Z;_2r4oy9d0f;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;obt (54);Deciduous;Birch;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (54)/1436359779911.jpg'>;;;-4.0209529999999996,52.54802770000019
;;OBT Tree Survey;;2015-07-08T13:30:23.883Z;_cxe1tdj8j;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;obt (59);Coniferous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (59)/1436362213999.jpg'>;;;-4.0252989,52.547547
;;OBT Tree Survey;;2015-07-08T17:50:55.036Z;_g4jbpct09;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;st Chris bonnington (6);Coniferous;Sycamore;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Chris bonnington (6)/1436377846394.jpg'>;Placeholder;Type species name in here;-2.421975999999996,53.8255639999999
;;OBT Tree Survey;;2015-07-08T20:37:16.644Z;_ekfumb6ff;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;st Chris bonnington (5);Deciduous;Sycamore;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Chris bonnington (5)/1436387808768.jpg'>;Placeholder;Type species name in here;-2.4219759999999915,53.8255639999998
;;OBT Tree Survey;;2015-07-08T20:38:46.094Z;_s15jcndmx;;;;-1;SAMSUNG SM-T230;;;35cf4469-162e-4f6d-8eae-ed886121088d.json;;;4.4.2;;st Chris bonnington (4);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Chris bonnington (4)/1436387909331.jpg'>;Placeholder;Type species name in here;-2.4219759999999875,53.825564000000234
